# x_m,y_m,w_tr_right_m,w_tr_left_m
396.27812,1522.182885,4.516,4.715
406.10702,1523.949704,4.743,4.893
415.966193,1525.519248,4.584,4.85
425.851972,1526.913559,4.392,4.787
435.760694,1528.154677,4.199,4.724
445.688695,1529.264647,4.03,4.666
455.63231,1530.265509,4.059,4.647
465.587875,1531.179307,4.088,4.628
475.551725,1532.028083,4.117,4.609
485.520196,1532.833878,4.146,4.59
495.490112,1533.616167,4.175,4.57
505.460418,1534.383238,4.205,4.551
515.430638,1535.140339,4.234,4.532
525.400295,1535.892716,4.263,4.513
535.368914,1536.645615,4.292,4.494
545.336018,1537.404282,4.321,4.475
555.30113,1538.173964,4.35,4.456
565.263775,1538.959908,4.379,4.437
575.223475,1539.767359,4.408,4.418
585.179894,1540.600433,4.437,4.398
595.133822,1541.454014,4.466,4.379
605.086602,1542.318475,4.476,4.375
615.039582,1543.18416,4.419,4.421
624.994108,1544.041412,4.363,4.467
634.951527,1544.880575,4.307,4.513
644.913186,1545.691993,4.25,4.558
654.880431,1546.46601,4.194,4.604
664.85461,1547.192968,4.138,4.65
674.836749,1547.864348,4.081,4.696
684.825237,1548.480975,4.052,4.752
694.817167,1549.048275,4.341,4.934
704.809622,1549.5717,4.629,5.115
714.799686,1550.056707,4.918,5.297
724.784443,1550.50875,5.207,5.478
734.760977,1550.933284,5.495,5.66
744.726371,1551.335764,5.784,5.841
754.677708,1551.721646,6.072,6.023
764.615103,1552.098399,6.289,6.132
774.563812,1552.490231,5.901,5.639
784.561534,1552.929627,5.513,5.147
794.646058,1553.449134,5.125,4.654
804.853942,1554.082872,4.737,4.161
814.78059,1555.429803,4.626,3.69
822.929059,1559.487488,4.366,3.744
828.100688,1567.684655,4.012,4.326
831.163971,1577.971321,4.145,4.169
833.7211,1587.599766,4.424,3.981
838.596091,1595.844634,4.107,4.543
847.138511,1600.308181,4.214,4.308
857.215666,1601.511461,4.506,4.114
867.125972,1602.927158,4.412,4.342
876.917365,1604.804529,4.248,4.536
886.638958,1607.045116,4.425,4.406
896.299992,1609.577004,4.691,4.189
905.909708,1612.328274,4.69,4.181
915.477237,1615.228698,4.594,4.247
925.009854,1618.236451,4.541,4.288
934.513295,1621.333307,4.527,4.308
943.993248,1624.501755,4.514,4.327
953.455402,1627.724287,4.5,4.347
962.905443,1630.98339,4.486,4.366
972.349061,1634.261556,4.473,4.386
981.791944,1637.541274,4.459,4.405
991.23978,1640.805034,4.445,4.425
1000.698015,1644.03609,4.432,4.444
1010.167979,1647.230686,4.418,4.464
1019.64756,1650.395926,4.404,4.484
1029.134541,1653.539248,4.391,4.503
1038.626703,1656.668092,4.403,4.56
1048.121829,1659.789895,4.421,4.626
1057.617702,1662.912097,4.439,4.693
1067.112103,1666.042136,4.458,4.759
1076.602815,1669.18745,4.476,4.826
1086.087992,1672.354054,4.495,4.892
1095.572177,1675.523512,4.513,4.958
1105.065291,1678.65681,4.531,5.025
1114.577422,1681.714292,4.55,5.091
1124.118658,1684.656305,4.568,5.158
1133.715897,1687.36045,4.444,4.784
1143.470782,1689.336479,4.309,4.391
1153.4708,1690.038154,4.267,4.496
1163.513912,1689.302359,4.061,4.52
1173.26327,1687.158008,4.336,4.791
1182.526103,1683.67893,4.346,4.542
1191.232099,1678.975732,4.309,4.587
1199.314792,1673.160173,4.326,4.76
1206.707713,1666.344011,4.314,4.682
1213.278297,1658.635938,4.54,4.287
1218.600257,1650.13101,4.561,4.149
1222.206133,1640.926728,4.179,4.411
1224.323867,1631.227871,3.895,4.74
1225.76098,1621.327233,3.957,4.709
1227.025167,1611.404152,4.095,4.589
1228.171405,1601.472501,4.116,4.578
1229.220096,1591.533515,4.136,4.566
1230.191639,1581.588432,4.157,4.554
1231.106438,1571.638487,4.177,4.543
1231.984892,1561.684916,4.198,4.531
1232.847404,1551.728955,4.218,4.519
1233.714374,1541.771841,4.239,4.508
1234.605974,1531.814802,4.259,4.496
1235.531117,1521.85866,4.28,4.484
1236.482594,1511.903659,4.301,4.473
1237.451954,1501.949997,4.321,4.461
1238.430743,1491.997874,4.334,4.451
1239.41051,1482.047487,4.34,4.442
1240.382803,1472.099036,4.345,4.434
1241.33917,1462.152718,4.35,4.425
1242.271158,1452.208734,4.356,4.417
1243.170632,1442.267217,4.361,4.408
1244.04517,1432.325206,4.366,4.399
1244.925003,1422.375264,4.372,4.391
1245.842125,1412.409612,4.377,4.382
1246.828529,1402.420467,4.382,4.374
