# x_m,y_m,w_tr_right_m,w_tr_left_m
69.148587,709.94099,5.403,5.09
73.715266,718.838748,5.26,5.184
78.370691,727.684191,5.102,5.293
83.22538,736.41366,4.949,5.408
88.380759,744.96847,5.142,5.208
93.832073,753.347983,5.254,5.168
99.50585,761.589128,5.26,5.268
105.327929,769.729153,5.17,5.372
111.272647,777.772503,5.153,5.33
117.404452,785.66267,5.179,5.202
123.797602,793.336515,4.993,5.249
130.524272,800.728101,4.849,5.272
137.644081,807.754825,5.209,5.017
144.885071,814.63214,5.274,4.95
150.924457,822.532124,5.083,4.926
154.719435,831.795494,5.007,5.014
155.847252,841.662957,5.036,4.854
154.815403,851.599345,4.724,4.749
152.64185,861.357029,4.847,4.917
150.13178,871.039424,4.823,4.863
147.738651,880.749442,4.799,4.81
145.362156,890.462429,4.776,4.756
142.947943,900.165565,4.752,4.702
140.509188,909.862379,4.728,4.649
138.060151,919.556665,4.704,4.595
135.615091,929.252216,4.681,4.541
133.188267,938.952827,4.657,4.487
130.793939,948.662292,4.633,4.434
128.437594,958.382134,4.61,4.38
126.073196,968.100559,4.586,4.326
123.635955,977.800922,4.562,4.272
121.069286,987.468356,4.539,4.219
118.531446,997.134565,4.515,4.165
116.410758,1006.881126,4.12,4.316
115.106854,1016.79202,3.929,4.556
115.096521,1026.822808,4.477,4.175
117.098168,1036.519258,4.457,4.47
121.368719,1045.476065,4.114,4.964
127.253716,1053.526452,4.349,4.072
134.273579,1060.578305,4.186,3.835
142.235141,1066.59204,3.923,4.275
150.958903,1071.530563,4.263,4.069
160.261421,1075.310058,4.089,4.173
169.946871,1077.700095,4.032,4.402
179.817006,1078.441556,4.337,3.989
189.666066,1077.305442,4.143,4.025
199.206251,1074.391653,3.851,4.3
208.178287,1070.054798,4.107,4.554
216.766998,1064.944153,4.108,4.525
225.192187,1059.554591,4.109,4.496
233.460832,1053.9292,4.11,4.466
241.558358,1048.065341,4.028,4.489
249.470191,1041.960379,3.953,4.523
257.181757,1035.611677,4.021,4.553
264.678482,1029.016598,4.173,4.434
271.946867,1022.173418,4.309,4.26
278.999454,1015.102529,4.182,4.163
285.875592,1007.847085,4.076,4.092
292.615853,1000.451281,4.04,4.112
299.260811,992.959312,4.004,4.133
305.85104,985.415374,3.969,4.153
312.427113,977.863663,3.933,4.173
319.027,970.345347,3.897,4.194
325.660869,962.869275,3.862,4.214
332.322052,955.424726,3.826,4.235
339.003644,948.000707,3.79,4.255
345.698743,940.586224,3.755,4.275
352.400446,933.170281,3.719,4.296
359.10185,925.741885,3.683,4.316
365.783745,918.279296,3.648,4.337
372.296106,910.646521,3.612,4.357
378.051,902.566347,3.339,4.514
380.491758,893.374423,4.356,3.902
378.147379,883.432652,4.123,3.963
372.585921,874.9907,3.787,4.157
365.699601,867.940558,3.959,3.894
360.005231,859.878883,4.464,3.684
359.564661,850.213306,3.941,4.069
361.713443,840.430399,3.609,4.069
364.350203,830.723875,3.66,4.033
366.787793,821.008027,3.712,3.996
