# x_m,y_m,w_tr_right_m,w_tr_left_m
1042.668627,270.377749,6.073,6.011
1051.85991,266.456522,5.926,6.092
1061.105615,262.676427,5.967,5.752
1070.694154,259.733262,5.592,6.049
1080.458836,260.358504,5.771,5.596
1089.829863,264.02096,6.048,6.039
1098.551487,268.89978,6.303,5.902
1106.719711,274.604808,6.638,5.603
1114.516105,280.83084,6.056,6.156
1122.064161,287.376878,5.967,6.25
1129.418694,294.160318,6.278,5.965
1136.576427,301.155171,6.387,5.847
1143.428431,308.432947,6.123,5.996
1149.853622,316.076371,5.853,6.076
1155.730945,324.168145,5.913,5.738
1161.159672,332.613328,5.888,5.701
1166.993669,340.708563,5.965,5.945
1174.10588,347.673145,5.776,6.25
1182.479992,353.056207,5.709,5.928
1191.758183,356.568411,6.004,5.947
1201.597239,358.338537,5.785,6.016
1211.664688,358.760937,5.78,6.119
1221.643522,357.86918,5.953,5.748
1231.234872,355.2967,5.665,5.942
1240.1694,350.942297,5.736,5.965
1248.209719,345.025328,5.835,5.976
1255.120126,337.782013,6.165,5.651
1260.665099,329.448673,5.469,5.854
1265.5263,320.772367,5.947,5.501
1272.755137,313.991077,5.681,5.664
1282.008735,310.296929,5.507,5.836
1291.937097,309.501388,6.102,5.678
1301.779936,310.868371,6.073,5.934
1311.482169,313.334544,5.925,6.168
1321.195519,315.809265,5.922,6.181
1330.954994,318.00366,5.934,6.173
1340.721465,320.137928,5.946,6.164
1350.476357,322.32391,5.958,6.156
1360.22461,324.547383,5.97,6.148
1369.972337,326.78785,5.982,6.139
1379.725607,329.024899,5.994,6.131
1389.486574,331.246476,6.006,6.122
1399.250238,333.455789,6.018,6.114
1409.010837,335.657671,6.03,6.105
1418.762606,337.856955,6.042,6.097
1428.502214,340.059215,6.054,6.088
1438.240535,342.274362,6.066,6.08
1447.993594,344.513881,6.086,6.047
1457.777423,346.789257,6.135,5.926
1467.521191,349.273118,5.841,6.08
1476.226285,353.836337,6.096,5.735
1483.472818,360.720261,6.362,5.723
1489.915279,368.354111,5.937,6.17
1496.069278,376.241291,5.88,6.337
1502.263832,384.09649,5.962,6.397
1508.512268,391.907436,6.043,6.458
1514.795305,399.690056,6.125,6.518
1521.093666,407.460279,6.207,6.579
1527.392182,415.230628,6.289,6.639
1533.688506,423.003011,6.37,6.7
1539.982785,430.777269,6.452,6.76
1546.275165,438.553244,6.534,6.821
1552.565793,446.330779,6.616,6.881
1558.854817,454.109715,6.697,6.942
1565.142382,461.889895,6.779,7.002
1571.428635,469.671161,6.861,7.063
1577.713722,477.453355,6.943,7.123
1583.997791,485.236319,7.024,7.184
1590.280988,493.019894,7.106,7.244
1596.56346,500.803924,7.188,7.305
1602.845353,508.588251,7.269,7.365
1609.126814,516.372715,7.351,7.426
1615.40799,524.157161,7.433,7.486
1621.689027,531.941428,7.515,7.547
1627.970072,539.725361,7.596,7.607
1634.251229,547.508856,7.678,7.668
1640.532146,555.292405,7.76,7.728
1646.812199,563.076858,7.842,7.789
1653.090758,570.863071,7.923,7.849
1659.367193,578.651898,8.005,7.91
1665.640876,586.444194,8.369,8.213
1671.911177,594.240814,8.808,8.58
1678.177466,602.042613,9.246,8.947
1684.43909,609.850462,9.685,9.314
1690.657989,617.688933,10.123,9.681
1696.683497,625.653952,10.561,10.048
1702.381768,633.837706,11.082,10.798
1707.826299,642.238835,11.62,11.668
1712.937853,650.877736,12.985,12.441
1715.356469,660.276836,12.235,11.784
1712.392049,669.8804,8.847,8.342
1704.313251,675.052974,8.231,7.793
1694.321432,675.21871,8.49,7.986
1684.514453,673.734577,8.094,7.726
1674.901442,671.168814,7.69,7.519
1665.404585,667.963398,7.382,7.263
1655.946093,664.56017,7.073,7.007
1646.468246,661.285966,6.978,6.951
1636.970133,658.142022,6.889,6.901
1627.460828,655.072357,6.799,6.851
1617.949406,652.020991,6.71,6.801
1608.44345,648.940556,6.62,6.751
1598.942924,645.827714,6.531,6.701
1589.445361,642.69316,6.442,6.651
1579.948296,639.547595,6.401,6.642
1570.449261,636.40172,6.393,6.66
1560.94579,633.266236,6.384,6.677
1551.435417,630.151843,6.375,6.694
1541.915675,627.069242,6.366,6.711
1532.384118,624.029045,6.357,6.728
1522.839658,621.03605,6.348,6.746
1513.283373,618.085782,6.339,6.763
1503.716532,615.172934,6.332,6.771
1494.140408,612.292203,6.328,6.763
1484.55627,609.438284,6.323,6.755
1474.965389,606.60587,6.319,6.746
1465.369037,603.789658,6.315,6.738
1455.768484,600.984342,6.31,6.729
1446.164909,598.185112,6.306,6.721
1436.558615,595.391821,6.301,6.713
1426.949428,592.606882,6.297,6.704
1417.337167,589.832734,6.293,6.696
1407.721636,587.071861,6.288,6.687
1398.101654,584.329582,6.284,6.679
1388.474496,581.615661,6.28,6.67
1378.8373,578.940252,6.278,6.661
1369.187206,576.313505,6.28,6.651
1359.522554,573.741183,6.281,6.642
1349.844943,571.21714,6.282,6.632
1340.156521,568.733226,6.284,6.622
1330.459439,566.281287,6.285,6.612
1320.755842,563.853172,6.286,6.602
1311.047881,561.44073,6.288,6.592
1301.337704,559.035808,6.288,6.596
1291.627459,556.630254,6.288,6.607
1281.919267,554.216027,6.288,6.618
1272.213641,551.791598,6.288,6.63
1262.508608,549.365499,6.288,6.641
1252.801983,546.947122,6.288,6.652
1243.091581,544.545862,6.288,6.664
1233.375217,542.171111,6.288,6.675
1223.650704,539.832262,6.287,6.686
1213.915859,537.538709,6.287,6.697
1204.168495,535.299844,6.287,6.709
1194.406873,533.123104,6.281,6.714
1184.633276,530.99823,6.27,6.715
1174.852124,528.905565,6.258,6.716
1165.067858,526.825365,6.247,6.717
1155.284868,524.738115,6.235,6.718
1145.504735,522.637283,6.224,6.719
1135.724763,520.536076,6.213,6.721
1125.9419,518.44935,6.201,6.722
1116.153096,516.391954,6.19,6.723
1106.356187,514.37452,6.179,6.724
1096.551332,512.396601,6.167,6.725
1086.739069,510.455958,6.156,6.726
1076.919936,508.550349,6.144,6.727
1067.09447,506.677533,6.163,6.758
1057.263208,504.83527,6.185,6.793
1047.426689,503.021319,6.207,6.827
1037.585449,501.233438,6.229,6.862
1027.740011,499.469456,6.251,6.897
1017.89061,497.728474,6.273,6.931
1008.037229,496.010721,6.295,6.966
998.179843,494.316466,6.317,7.001
988.318423,492.645977,6.339,7.035
978.452945,490.999523,6.361,7.07
968.583382,489.377373,6.383,7.105
958.709708,487.779794,6.405,7.139
948.831896,486.207055,6.554,7.066
938.949925,484.659505,6.797,6.914
929.063793,483.137862,7.04,6.762
919.173508,481.642955,7.155,6.717
909.279074,480.17561,7.093,6.821
899.380497,478.736654,7.031,6.925
889.477782,477.326914,6.969,7.029
879.570934,475.947217,7.013,7.142
869.659961,474.598389,7.061,7.255
859.744871,473.281212,7.109,7.368
849.825939,471.994042,7.156,7.481
839.903822,470.731689,7.204,7.594
829.979208,469.48868,7.252,7.708
820.052785,468.259542,7.3,7.821
810.125243,467.038804,7.387,7.769
800.197268,465.820992,7.502,7.605
790.269549,464.600635,7.617,7.44
780.342775,463.372258,7.681,7.338
770.417545,462.131104,7.641,7.368
760.493709,460.878443,7.6,7.398
750.570744,459.618577,7.559,7.427
740.648119,458.35583,7.518,7.457
730.725308,457.094526,7.477,7.487
720.80178,455.838991,7.436,7.516
710.877009,454.593549,7.396,7.546
700.950466,453.362525,7.433,7.622
691.021623,452.150237,7.543,7.74
681.090257,450.958475,7.652,7.859
671.156898,449.782769,7.761,7.977
661.222189,448.617695,7.871,8.095
651.286776,447.45783,7.98,8.214
641.351302,446.297748,8.089,8.332
631.416413,445.132027,8.199,8.45
621.482753,443.955242,8.308,8.569
611.550966,442.761969,8.417,8.687
601.621568,441.547946,8.527,8.805
591.688938,440.364381,8.636,8.924
581.73884,439.340416,8.745,9.042
571.785754,438.374725,9.199,8.933
561.915916,436.788359,9.789,8.733
552.955704,433.0057,10.532,8.924
548.416396,424.374173,9.886,8.004
549.385647,414.904023,8.846,7.061
554.701969,406.609655,8.3,7.275
560.792755,398.591045,7.758,7.489
566.989853,390.709527,7.712,7.497
573.251302,382.914116,7.666,7.505
579.537785,375.154184,7.62,7.513
585.810194,367.37956,7.561,7.548
592.037189,359.556801,7.472,7.638
598.197278,351.673688,7.384,7.727
