# x_m,y_m,w_tr_right_m,w_tr_left_m
717.257676,74.360885,7.653,7.647
717.028686,84.352976,7.655,7.645
716.800371,94.345057,7.656,7.644
716.572671,104.33713,7.658,7.642
716.345528,114.329195,7.659,7.641
716.118883,124.321254,7.66,7.64
715.892678,134.313308,7.662,7.638
715.666852,144.305358,7.663,7.637
715.441347,154.297404,7.665,7.635
715.216104,164.289448,7.666,7.634
714.991064,174.281491,7.667,7.633
714.766169,184.273533,7.669,7.631
714.541358,194.265576,7.67,7.63
714.316574,204.257622,7.672,7.628
714.091757,214.249669,7.673,7.627
713.866848,224.241721,7.674,7.626
713.641788,234.233778,7.676,7.624
713.416519,244.22584,7.677,7.623
713.190981,254.21791,7.679,7.621
712.965115,264.209987,7.68,7.62
712.738863,274.202073,7.682,7.618
712.512165,284.194169,7.683,7.617
712.284962,294.186276,7.684,7.616
712.057197,304.178395,7.686,7.614
711.828808,314.170527,7.687,7.613
711.599738,324.162674,7.689,7.611
711.369928,334.154835,7.69,7.61
711.139318,344.147012,7.691,7.609
710.90785,354.139206,7.693,7.607
710.675464,364.131418,7.694,7.606
710.442103,374.123649,7.696,7.604
710.207705,384.115901,7.697,7.603
709.972214,394.108173,7.698,7.602
709.735569,404.100468,7.7,7.6
709.497713,414.092786,7.701,7.599
709.258616,424.085127,7.703,7.597
709.018517,434.077491,7.704,7.596
708.777791,444.069871,7.706,7.594
708.536817,454.062266,7.707,7.593
708.295969,464.05467,7.708,7.592
708.055626,474.04708,7.71,7.59
707.816163,484.039492,7.711,7.589
707.577957,494.031902,7.713,7.587
707.341385,504.024307,7.714,7.586
707.106824,514.016702,7.715,7.585
706.87465,524.009083,7.717,7.583
706.64524,534.001447,7.718,7.582
706.418971,543.993789,7.72,7.58
706.196219,553.986106,7.712,7.588
705.977361,563.978394,7.687,7.613
705.762774,573.970649,7.663,7.637
705.552834,583.962867,7.638,7.662
705.347919,593.955044,7.614,7.686
705.148404,603.947176,7.59,7.71
704.954667,613.93926,7.565,7.735
704.767084,623.931291,7.541,7.759
704.586032,633.923265,7.516,7.784
704.411887,643.91518,7.492,7.808
704.245027,653.90703,7.467,7.833
704.085827,663.898812,7.443,7.857
703.933608,673.890495,7.428,7.872
703.767754,683.881548,7.456,7.844
703.549901,693.870995,7.485,7.815
703.241058,703.857842,7.513,7.787
702.802238,713.841097,7.616,7.684
702.194453,723.819766,7.76,7.54
701.378715,733.792846,7.905,7.395
700.316889,743.753574,8.027,7.273
698.973067,753.680067,8.093,7.207
697.311706,763.547987,8.084,7.216
695.297262,773.332997,8.052,7.248
692.894189,783.010762,7.761,7.539
690.066944,792.556944,7.568,7.732
686.787784,801.949517,7.496,7.804
683.066201,811.177469,7.553,7.747
678.922788,820.233075,7.668,7.632
674.378138,829.108611,7.751,7.549
669.452844,837.796351,7.787,7.513
664.167499,846.288571,7.598,7.702
658.542697,854.577545,7.509,7.791
652.599032,862.655549,7.582,7.718
646.357096,870.514857,7.781,7.519
639.837484,878.147745,7.869,7.431
633.060788,885.546487,7.93,7.37
626.047602,892.703359,7.913,7.387
618.818362,899.610622,7.801,7.499
611.384371,906.259766,7.535,7.765
603.742965,912.641096,7.551,7.749
595.890294,918.744821,7.668,7.632
587.822514,924.561147,7.695,7.605
579.535776,930.08028,7.719,7.581
571.026234,935.292429,7.735,7.565
562.293179,940.184323,7.779,7.521
553.351095,944.725868,7.826,7.474
544.219052,948.88189,7.866,7.434
534.916122,952.617211,7.831,7.469
525.461377,955.896654,7.679,7.621
515.87389,958.685044,7.621,7.679
506.172642,960.953517,7.609,7.691
496.375787,962.730925,7.697,7.603
486.501037,964.077059,7.804,7.496
476.5661,965.051999,7.924,7.376
466.588682,965.715829,7.92,7.38
456.58649,966.12863,7.825,7.475
446.577121,966.350271,7.792,7.508
436.57146,966.427764,7.766,7.534
426.570014,966.388235,7.744,7.556
416.572398,966.2571,7.723,7.577
406.578228,966.059776,7.701,7.599
396.587118,965.821681,7.679,7.621
386.598683,965.568222,7.657,7.643
376.612451,965.31896,7.635,7.665
366.627712,965.077643,7.613,7.687
356.643715,964.845371,7.592,7.708
346.659711,964.623244,7.57,7.73
336.67495,964.412361,7.548,7.752
326.688681,964.213821,7.526,7.774
316.700156,964.028725,7.504,7.796
306.708623,963.858173,7.483,7.817
296.713334,963.703262,7.461,7.839
286.713537,963.565095,7.439,7.861
276.708484,963.444769,7.417,7.883
266.697424,963.343385,7.395,7.905
256.67991,963.260021,7.374,7.926
246.661599,963.15299,7.354,7.946
236.65381,962.9428,7.516,7.784
226.668075,962.548529,7.677,7.623
216.715927,961.889255,7.794,7.506
206.808899,960.884056,7.887,7.413
196.958539,959.452631,7.96,7.34
187.177346,957.55361,7.963,7.337
177.479321,955.206957,7.947,7.353
167.878595,952.438027,7.78,7.52
158.389301,949.272174,7.633,7.667
149.025569,945.734754,7.643,7.657
139.801531,941.851114,7.637,7.663
130.730375,937.641142,7.602,7.698
121.822694,933.109695,7.692,7.608
113.088636,928.25906,7.88,7.42
104.538353,923.091527,7.923,7.377
96.181993,917.609385,7.948,7.352
88.029707,911.814922,7.721,7.579
80.093938,905.710173,7.505,7.795
72.408898,899.294754,7.453,7.847
65.020812,892.566949,7.566,7.734
57.974067,885.525693,7.89,7.41
51.272524,878.183666,8.056,7.244
44.88196,870.566465,8.073,7.227
38.767856,862.699879,7.93,7.37
32.920195,854.603297,7.675,7.625
27.352029,846.290075,7.643,7.657
22.077305,837.77334,7.754,7.546
17.10997,829.066215,7.786,7.514
12.463972,820.181825,7.715,7.585
8.153259,811.133294,7.654,7.646
4.191778,801.933747,7.661,7.639
0.593478,792.596308,7.668,7.632
-2.627694,783.134102,7.692,7.608
-5.457792,773.560252,7.731,7.569
-7.882866,763.887885,7.767,7.533
-9.888969,754.130123,7.838,7.462
-11.470441,744.299973,7.961,7.339
-12.66377,734.409843,8.07,7.23
-13.518805,724.471949,8.121,7.179
-14.085402,714.498508,7.958,7.342
-14.413417,704.501737,7.612,7.688
-14.552707,694.493852,7.47,7.83
-14.552452,684.486758,7.417,7.883
-14.447595,674.485749,7.482,7.818
-14.25952,664.489828,7.558,7.742
-14.00907,654.497747,7.633,7.667
-13.71709,644.508259,7.709,7.591
-13.404424,634.520115,7.785,7.515
-13.0918,624.532075,7.761,7.539
-12.792074,614.543369,7.732,7.568
-12.505358,604.553988,7.703,7.597
-12.230602,594.563991,7.675,7.625
-11.966755,584.57344,7.646,7.654
-11.712767,574.582394,7.617,7.683
-11.467587,564.590915,7.612,7.688
-11.230165,554.599062,7.608,7.692
-10.99945,544.606897,7.605,7.695
-10.774393,534.614479,7.601,7.699
-10.553941,524.62187,7.597,7.703
-10.337046,514.629128,7.594,7.706
-10.122657,504.636316,7.59,7.71
-9.909783,494.64349,7.586,7.714
-9.698042,484.650669,7.583,7.717
-9.487391,474.657855,7.579,7.721
-9.277793,464.665047,7.575,7.725
-9.06921,454.672244,7.581,7.719
-8.861607,444.679446,7.59,7.71
-8.654944,434.686653,7.599,7.701
-8.449186,424.693864,7.608,7.692
-8.244295,414.701079,7.617,7.683
-8.040232,404.708297,7.627,7.673
-7.836963,394.715519,7.636,7.664
-7.634448,384.722744,7.645,7.655
-7.43265,374.729972,7.654,7.646
-7.231534,364.737202,7.662,7.638
-7.03106,354.744433,7.667,7.633
-6.831192,344.751666,7.672,7.628
-6.631893,334.7589,7.677,7.623
-6.433125,324.766136,7.678,7.622
-6.234851,314.773371,7.678,7.622
-6.037033,304.780607,7.677,7.623
-5.839636,294.787842,7.676,7.624
-5.64262,284.795077,7.676,7.624
-5.44595,274.802311,7.675,7.625
-5.249587,264.809543,7.674,7.626
-5.053494,254.816774,7.674,7.626
-4.857635,244.824003,7.673,7.627
-4.661971,234.831229,7.672,7.628
-4.466466,224.838453,7.672,7.628
-4.271082,214.845673,7.671,7.629
-4.075783,204.85289,7.67,7.63
-3.88053,194.860104,7.67,7.63
-3.685286,184.867313,7.669,7.631
-3.490015,174.874518,7.668,7.632
-3.294679,164.881718,7.668,7.632
-3.09924,154.888912,7.667,7.633
-2.903662,144.896101,7.666,7.634
-2.707907,134.903285,7.666,7.634
-2.511938,124.910462,7.665,7.635
-2.315717,114.917632,7.664,7.636
-2.119208,104.924795,7.664,7.636
-1.922373,94.931951,7.663,7.637
-1.725174,84.9391,7.662,7.638
-1.527575,74.94624,7.661,7.639
-1.329538,64.953372,7.661,7.639
-1.131026,54.960495,7.66,7.64
-0.932002,44.967609,7.659,7.641
-0.732428,34.974714,7.659,7.641
-0.532268,24.981809,7.658,7.642
-0.331483,14.988894,7.657,7.643
-0.130036,4.995968,7.657,7.643
